company_name,ticker,file_count
삼성전자,005930,13
삼성전기,009150,8
LG전자,066570,7
SK하이닉스,000660,7
LG이노텍,011070,6
LG에너지솔루션,373220,6
SK텔레콤,017670,5
삼성E,,5
LG유플러스,032640,4
KT,,4
현대건설,000720,4
셀트리온,068270,4
JYP Ent.,035900,3
하이브,352820,3
DL이앤씨,375500,3
한화솔루션,009830,3
한올바이오파마,009420,3
크래프톤,259960,3
LX인터내셔널,001120,3
코스맥스,192820,3
비에이치,090460,3
삼성바이오로직스,207940,3
신세계,004170,3
NH투자증권,005940,3
삼성증권,016360,3
GS건설,006360,3
SGC에너지,005090,2
HDC,012630,2
SNT모티브,064960,2
엘앤에프,066970,2
피에스케이,319660,2
GS리테일,007070,2
POSCO홀딩스,005490,2
SK스퀘어,402340,2
에이비엘바이오,298380,2
CJ ENM,035760,2
삼성SDI,006400,2
알지노믹스,476830,2
한미글로벌,053690,2
리노공업,058470,2
삼양식품,003230,2
CJ,001040,2
CJ제일제당,097950,2
LG,003550,2
SK,034730,2
롯데웰푸드,280360,2
한국콜마,161890,2
아이티센엔텍,010280,2
한화,000880,2
NAVER,035420,2
기아,000270,2
제일기획,030000,2
카카오,035720,2
현대차,,2
휴젤,145020,2
미래에셋증권,006800,2
세아제강,306200,2
현대백화점,069960,2
호텔신라,008770,2
현대로템,064350,2
아모레퍼시픽,090430,2
에이피알,278470,2
S-Oil,010950,1
네오티스,085910,1
대성하이텍,129920,1
대한유화,006650,1
대한해운,005880,1
우리넷,115440,1
이랜텍,054210,1
풀무원,017810,1
SCL사이언스,246960,1
알테오젠,196170,1
엘티씨,170920,1
엠플러스,259630,1
오이솔루션,138080,1
한솔케미칼,014680,1
E1,017940,1
대한항공,003490,1
동성화인텍,033500,1
빙그레,005180,1
산일전기,062040,1
에이치와이티씨,148930,1
위더스제약,330350,1
지아이텍,382480,1
한켐,457370,1
핸디소프트,220180,1
ISC,095340,1
KX,122450,1
경보제약,214390,1
넥스트바이오메디컬,389650,1
동아쏘시오홀딩스,000640,1
성일하이텍,365340,1
씨엠티엑스,388210,1
엠케이전자,033160,1
지아이이노베이션,358570,1
코미코,183300,1
펄어비스,263750,1
RFHIC,218410,1
SK가스,018670,1
대한조선,439260,1
라온시큐어,042510,1
롯데이노베이트,286940,1
삼화네트웍스,046390,1
에이스토리,241840,1
우신시스템,017370,1
종근당,185750,1
HD현대중공업,329180,1
HEM파마,376270,1
리가켐바이오,141080,1
실리콘투,257720,1
오리온,271560,1
HD현대,267250,1
LS ELECTRIC,,1
LS에코에너지,229640,1
NHN,181710,1
SJG세종,033530,1
SK이노베이션,096770,1
두산,000150,1
스튜디오드래곤,253450,1
싸이맥스,160980,1
이지바이오,353810,1
큐라클,365270,1
큐렉소,060280,1
태광,023160,1
테스,095610,1
펨트론,168360,1
효성,004800,1
RF머트리얼즈,327260,1
감성코퍼레이션,036620,1
교촌에프앤비,339770,1
동원산업,006040,1
세나테크놀로지,061090,1
세종텔레콤,036630,1
에스넷,038680,1
BGF리테일,282330,1
GS피앤엘,499790,1
SNT에너지,100840,1
넥스틴,348210,1
롯데쇼핑,023530,1
모두투어,080160,1
삼성에스디에스,018260,1
성광벤드,014620,1
심텍,222800,1
에코프로비엠,247540,1
에프에스티,036810,1
이마트,139480,1
키움증권,039490,1
포스코퓨처엠,003670,1
한국금융지주,071050,1
LIG넥스원,,1
아모레퍼시픽,,1
달바글로벌,483650,1
대웅제약,069620,1
빅텍,065450,1
삼양바이오팜,0120G0,1
엔씨소프트,036570,1
전진건설로봇,079900,1
쿠콘,294570,1
한국항공우주,047810,1
한전KPS,051600,1
한화시스템,272210,1
한화에어로스페이스,012450,1
효성중공업,298040,1
CJ프레시웨이,051500,1
HD현대일렉트릭,267260,1
대덕전자,353200,1
롯데렌탈,089860,1
시프트업,462870,1
와이엠티,251370,1
코츠테크놀로지,448710,1
F,,1
비츠로셀,082920,1
솔브레인,357780,1
아이씨티케이,456010,1
제닉,123330,1
제이앤티씨,204270,1
코스메카코리아,241710,1
팬오션,028670,1
한국가구,004590,1
한일사료,005860,1
해성디에스,195870,1
현대모비스,012330,1
현대제철,004020,1
